Building,Engine SVG Desk ID,Desk Name,Level,O365 Mailbox,Name,Imported into UAT Engine?,,,,Info: see https://drive.google.com/drive/u/1/folders/1W_jlXAni85Ayk48t4x4hSPFzB8YXXy_I
Building,27.G1,Hotdesk 27-G-01,27,27G01hwhd@acauat.com,Building 27-G-01,Yes,,,,
Building,27.G2,Hotdesk 27-G-02,27,27G02hwhd@acauat.com,Building 27-G-02,Yes,,,,
Building,27.G3,Hotdesk 27-G-03,27,27G03hwhd@acauat.com,Building 27-G-03,Yes,,,,
Building,27.G4,Hotdesk 27-G-04,27,27G04hwhd@acauat.com,Building 27-G-04,Yes,,,,
Building,27.G5,Hotdesk 27-G-05,27,27G05hwhd@acauat.com,Building 27-G-05,Yes,,,,
Building,27.G6,Hotdesk 27-G-06,27,27G06hwhd@acauat.com,Building 27-G-06,Yes,,,,
Building,27.G7,Hotdesk 27-G-07,27,27G07hwhd@acauat.com,Building 27-G-07,Yes,,,,
Building,27.G8,Hotdesk 27-G-08,27,27G08hwhd@acauat.com,Building 27-G-08,Yes,,,,
Building,27.G9,Hotdesk 27-G-09,27,27G09hwhd@acauat.com,Building 27-G-09,Yes,,,,
Building,27.G10,Hotdesk 27-G-10,27,27G10hwhd@acauat.com,Building 27-G-10,Yes,,,,
Building,27.S1,Hotdesk 27-S-01,27,27S01hwhd@acauat.com,Building 27-S-01,Yes,,,,
Building,27.S2,Hotdesk 27-S-02,27,27S02hwhd@acauat.com,Building 27-S-02,Yes,,,,
Building,27.S3,Hotdesk 27-S-03,27,27S03hwhd@acauat.com,Building 27-S-03,Yes,,,,
Building,27.S4,Hotdesk 27-S-04,27,27S04hwhd@acauat.com,Building 27-S-04,Yes,,,,
Building,27.S5,Hotdesk 27-S-05,27,27S05hwhd@acauat.com,Building 27-S-05,Yes,,,,
Building,27.S6,Hotdesk 27-S-06,27,27S06hwhd@acauat.com,Building 27-S-06,Yes,,,,
Building,27.S7,Hotdesk 27-S-07,27,27S07hwhd@acauat.com,Building 27-S-07,Yes,,,,
Building,27.S8,Hotdesk 27-S-08,27,27S08hwhd@acauat.com,Building 27-S-08,Yes,,,,
Building,27.S9,Hotdesk 27-S-09,27,27S09hwhd@acauat.com,Building 27-S-09,Yes,,,,
Building,27.S10,Hotdesk 27-S-10,27,27S10hwhd@acauat.com,Building 27-S-10,Yes,,,,
Building,27.S11,Hotdesk 27-S-11,27,27S11hwhd@acauat.com,Building 27-S-11,Yes,,,,
Building,27.S12,Hotdesk 27-S-12,27,27S12hwhd@acauat.com,Building 27-S-12,Yes,,,,
Building,27.S13,Hotdesk 27-S-13,27,27S13hwhd@acauat.com,Building 27-S-13,Yes,,,,
Building,27.S14,Hotdesk 27-S-14,27,27S14hwhd@acauat.com,Building 27-S-14,Yes,,,,
Building,27.N1,Hotdesk 27-N-01,27,27N01hwhd@acauat.com,Building 27-N-01,Yes,,,,
Building,27.N2,Hotdesk 27-N-02,27,27N02hwhd@acauat.com,Building 27-N-02,Yes,,,,
Building,27.N3,Hotdesk 27-N-03,27,27N03hwhd@acauat.com,Building 27-N-03,Yes,,,,
Building,27.N4,Hotdesk 27-N-04,27,27N04hwhd@acauat.com,Building 27-N-04,Yes,,,,
Building,27.N5,Hotdesk 27-N-05,27,27N05hwhd@acauat.com,Building 27-N-05,Yes,,,,
Building,27.N6,Hotdesk 27-N-06,27,27N06hwhd@acauat.com,Building 27-N-06,Yes,,,,
Building,27.N7,Hotdesk 27-N-07,27,27N07hwhd@acauat.com,Building 27-N-07,Yes,,,,
Building,27.N8,Hotdesk 27-N-08,27,27N08hwhd@acauat.com,Building 27-N-08,Yes,,,,
Building,27.N9,Hotdesk 27-N-09,27,27N09hwhd@acauat.com,Building 27-N-09,Yes,,,,
Building,27.N10,Hotdesk 27-N-10,27,27N10hwhd@acauat.com,Building 27-N-10,Yes,,,,
Building,27.N11,Hotdesk 27-N-11,27,27N11hwhd@acauat.com,Building 27-N-11,Yes,,,,
Building,27.N12,Hotdesk 27-N-12,27,27N12hwhd@acauat.com,Building 27-N-12,Yes,,,,
Building,27.N13,Hotdesk 27-N-13,27,27N13hwhd@acauat.com,Building 27-N-13,Yes,,,,
Building,27.N14,Hotdesk 27-N-14,27,27N14hwhd@acauat.com,Building 27-N-14,Yes,,,,
