Building,Architectural Room Number,Final Room number,Room Name,Capacity,Floor number,Bookable from ACA App?,Office365 Mailbox Address,TV,Smartboard,Video Conference,Dolby Phone,VC dial in IP
Building,2701,2701,2701,1,27,Yes,2701hwrm@aca.com,No,No,No,,
Building,2702,2702,2702,3,27,Yes,2702hwrm@aca.com,No,No,No,,
Building,2703,2703,2703,6,27,Yes,2703hwrm@aca.com,Yes,No,No,,
Building,2704,2704,2704,6,27,Yes,2704hwrm@aca.com,Yes,No,No,,
Building,2706,2706,2706,14,27,Yes,2706hwrm@aca.com,No,Yes,Yes,,
Building,2707,2707,2707,6,27,Yes,2707hwrm@aca.com,Yes,No,No,,
Building,2708,2708,2708,14,27,Yes,2708hwrm@aca.com,No,Yes,Yes,,
Building,2709,2709,2709,4,27,Yes,2709hwrm@aca.com,Yes,No,No,,
Building,2710,2710,2710,14,27,Yes,2710hwrm@aca.com,No,Yes,Yes,,
Building,2711,2711,2711,8,27,Yes,2711hwrm@aca.com,No,Yes,No,,
Building,2712,2712,2712,8,27,Yes,2712hwrm@aca.com,No,Yes,No,,
Building,2713,2713,2713,14,27,Yes,2713hwrm@aca.com,No,Yes,Yes,,
Building,2714,2714,2714,5,27,Yes,2714hwrm@aca.com,Yes,No,No,,
Building,2715,2715,2715,1,27,Yes,2715hwrm@aca.com,No,No,No,,
Building,2718,2718,2718,2,27,Yes,2718hwrm@aca.com,No,No,No,,
Building,2719,2719,2719,6,27,Yes,2719hwrm@aca.com,Yes,No,No,,
Building,2720,2720,2720,3,27,Yes,2720hwrm@aca.com,No,No,No,,
Building,2721,2721,2721,1,27,Yes,2721hwrm@aca.com,No,No,No,,
